location,rain,day
New Zealand,2.57387133333333,2001-12-24
New Zealand,0.710406,2001-12-25
New Zealand,4.93057266666667,2001-12-26
New Zealand,12.0110406666667,2001-12-27
New Zealand,7.13300066666667,2001-12-28
New Zealand,3.69699466666667,2001-12-29
New Zealand,1.01594733333333,2001-12-30
New Zealand,1.16666666666667,2001-12-31
New Zealand,7.46,2002-01-01
New Zealand,4.87846333333333,2002-01-02
New Zealand,11.7178213333333,2002-01-03
New Zealand,5.08821266666667,2002-01-04
New Zealand,2.679683,2002-01-05
New Zealand,3.67526933333333,2002-12-24
New Zealand,10.8928863333333,2002-12-25
New Zealand,1.16981133333333,2002-12-26
New Zealand,1.75666666666667,2002-12-27
New Zealand,3.33333333333333e-2,2002-12-28
New Zealand,9.33333333333333e-2,2002-12-29
New Zealand,6.66666666666667e-3,2002-12-30
New Zealand,6.66666666666667e-3,2002-12-31
New Zealand,2.0e-2,2003-01-01
New Zealand,7.0e-2,2003-01-02
New Zealand,1.42666666666667,2003-01-03
New Zealand,2.86199933333333,2003-01-04
New Zealand,5.85997933333333,2003-01-05
New Zealand,3.52755533333333,2003-12-24
New Zealand,2.97008866666667,2003-12-25
New Zealand,2.57169933333333,2003-12-26
New Zealand,5.18007133333333,2003-12-27
New Zealand,7.09321166666667,2003-12-28
New Zealand,8.95447333333333,2003-12-29
New Zealand,3.29527933333333,2003-12-30
New Zealand,5.5926e-2,2003-12-31
New Zealand,3.55666666666667,2004-01-01
New Zealand,2.09487666666667,2004-01-02
New Zealand,1.57,2004-01-03
New Zealand,1.36,2004-01-04
New Zealand,0.756666666666667,2004-01-05
New Zealand,4.27848533333333,2004-12-24
New Zealand,0.793312,2004-12-25
New Zealand,0.829811333333333,2004-12-26
New Zealand,1.31446666666667e-2,2004-12-27
New Zealand,5.576478,2004-12-28
New Zealand,15.4340266666667,2004-12-29
New Zealand,23.755276,2004-12-30
New Zealand,4.17736866666667,2004-12-31
New Zealand,3.40865833333333,2005-01-01
New Zealand,2.92593333333333e-2,2005-01-02
New Zealand,1.3,2005-01-03
New Zealand,4.48554466666667,2005-01-04
New Zealand,6.22861933333333,2005-01-05
New Zealand,1.705926,2005-12-24
New Zealand,3.18278466666667,2005-12-25
New Zealand,1.91981133333333,2005-12-26
New Zealand,2.33333333333333e-2,2005-12-27
New Zealand,2.438814,2005-12-28
New Zealand,3.24314466666667,2005-12-29
New Zealand,2.334822,2005-12-30
New Zealand,0.496478,2005-12-31
New Zealand,10.4066666666667,2006-01-01
New Zealand,4.01506733333333,2006-01-02
New Zealand,9.79258066666667,2006-01-03
New Zealand,3.850206,2006-01-04
New Zealand,4.67497,2006-01-05
New Zealand,0.809323333333333,2006-12-24
New Zealand,6.32376066666667,2006-12-25
New Zealand,7.41981133333333,2006-12-26
New Zealand,4.20932333333333,2006-12-27
New Zealand,0.796478,2006-12-28
New Zealand,5.31323,2006-12-29
New Zealand,1.26381933333333,2006-12-30
New Zealand,2.50901,2006-12-31
New Zealand,2.074177,2007-01-01
New Zealand,0.83806,2007-01-02
New Zealand,5.0e-2,2007-01-03
New Zealand,0.0,2007-01-04
New Zealand,0.806666666666667,2007-01-05
New Zealand,1.83652066666667,2007-12-24
New Zealand,5.88749,2007-12-25
New Zealand,2.94265666666667,2007-12-26
New Zealand,4.536478,2007-12-27
New Zealand,0.490235,2007-12-28
New Zealand,0.35,2007-12-29
New Zealand,3.63649933333333,2007-12-30
New Zealand,0.186774666666667,2007-12-31
New Zealand,0.0,2008-01-01
New Zealand,4.28,2008-01-02
New Zealand,0.943333333333333,2008-01-03
New Zealand,6.0e-2,2008-01-04
New Zealand,0.0,2008-01-05
New Zealand,5.144504,2008-12-24
New Zealand,1.46,2008-12-25
New Zealand,0.423333333333333,2008-12-26
New Zealand,1.87,2008-12-27
New Zealand,3.70666666666667,2008-12-28
New Zealand,5.78976666666667,2008-12-29
New Zealand,1.631239,2008-12-30
New Zealand,6.93824066666667,2008-12-31
New Zealand,2.128262,2009-01-01
New Zealand,6.84380333333333,2009-01-02
New Zealand,4.49547066666667,2009-01-03
New Zealand,0.366666666666667,2009-01-04
New Zealand,0.346666666666667,2009-01-05
New Zealand,1.32333333333333,2009-12-24
New Zealand,1.39666666666667,2009-12-25
New Zealand,8.31,2009-12-26
New Zealand,1.63674266666667,2009-12-27
New Zealand,3.92145433333333,2009-12-28
New Zealand,2.31165933333333,2009-12-29
New Zealand,1.42333333333333,2009-12-30
New Zealand,0.183333333333333,2009-12-31
New Zealand,6.94,2010-01-01
New Zealand,4.25333333333333,2010-01-02
New Zealand,8.06858466666667,2010-01-03
New Zealand,0.57,2010-01-04
New Zealand,0.726666666666667,2010-01-05
New Zealand,1.24333333333333,2010-12-24
New Zealand,1.26666666666667,2010-12-25
New Zealand,3.32666666666667,2010-12-26
New Zealand,28.2653033333333,2010-12-27
New Zealand,7.39450733333333,2010-12-28
New Zealand,3.0e-2,2010-12-29
New Zealand,1.14333333333333,2010-12-30
New Zealand,0.653333333333333,2010-12-31
New Zealand,2.15992166666667,2011-01-01
New Zealand,10.1566666666667,2011-01-02
New Zealand,1.3,2011-01-03
New Zealand,0.59,2011-01-04
New Zealand,3.68333333333333,2011-01-05
New Zealand,0.137115333333333,2011-12-24
New Zealand,0.443333333333333,2011-12-25
New Zealand,8.33333333333333e-2,2011-12-26
New Zealand,7.66666666666667e-2,2011-12-27
New Zealand,0.563333333333333,2011-12-28
New Zealand,12.212155,2011-12-29
New Zealand,23.5155216666667,2011-12-30
New Zealand,14.5005433333333,2011-12-31
New Zealand,6.44279933333333,2012-01-01
New Zealand,0.153144666666667,2012-01-02
New Zealand,0.949489,2012-01-03
New Zealand,0.86071,2012-01-04
New Zealand,0.886666666666667,2012-01-05
New Zealand,4.64134833333333,2012-12-24
New Zealand,1.413718,2012-12-25
New Zealand,4.45125933333333,2012-12-26
New Zealand,1.08137666666667,2012-12-27
New Zealand,3.907286,2012-12-28
New Zealand,7.17314466666667,2012-12-29
New Zealand,6.59947266666667,2012-12-30
New Zealand,8.78148866666667,2012-12-31
New Zealand,9.71333333333333,2013-01-01
New Zealand,13.165758,2013-01-02
New Zealand,2.26469966666667,2013-01-03
New Zealand,5.0e-2,2013-01-04
New Zealand,2.0e-2,2013-01-05
New Zealand,7.2,2013-12-24
New Zealand,2.85451333333333,2013-12-25
New Zealand,2.410795,2013-12-26
New Zealand,2.18130333333333,2013-12-27
New Zealand,9.02350666666667,2013-12-28
New Zealand,5.18666666666667,2013-12-29
New Zealand,5.23,2013-12-30
New Zealand,2.20666666666667,2013-12-31
New Zealand,8.70216066666667,2014-01-01
New Zealand,9.44333333333333,2014-01-02
New Zealand,4.06113666666667,2014-01-03
New Zealand,7.858336,2014-01-04
New Zealand,3.88597666666667,2014-01-05
New Zealand,6.0e-2,2014-12-24
New Zealand,0.513976666666667,2014-12-25
New Zealand,4.66666666666667e-2,2014-12-26
New Zealand,2.01333333333333,2014-12-27
New Zealand,0.35,2014-12-28
New Zealand,0.55791,2014-12-29
New Zealand,4.37666666666667,2014-12-30
New Zealand,8.58769666666667,2014-12-31
New Zealand,1.1,2015-01-01
New Zealand,0.97,2015-01-02
New Zealand,0.106478,2015-01-03
New Zealand,0.893333333333333,2015-01-04
New Zealand,1.25666666666667,2015-01-05
New Zealand,3.17,2015-12-24
New Zealand,0.166666666666667,2015-12-25
New Zealand,0.0,2015-12-26
New Zealand,2.66666666666667e-2,2015-12-27
New Zealand,0.173333333333333,2015-12-28
New Zealand,3.33333333333333e-2,2015-12-29
New Zealand,1.21333333333333,2015-12-30
New Zealand,2.02666666666667,2015-12-31
New Zealand,7.62709166666667,2016-01-01
New Zealand,14.8297216666667,2016-01-02
New Zealand,8.849085,2016-01-03
New Zealand,0.346666666666667,2016-01-04
New Zealand,2.45133333333333e-2,2016-01-05
New Zealand,0.153333333333333,2016-12-24
New Zealand,0.12,2016-12-25
New Zealand,2.39666666666667,2016-12-26
New Zealand,1.22,2016-12-27
New Zealand,0.823333333333333,2016-12-28
New Zealand,0.636666666666667,2016-12-29
New Zealand,0.32,2016-12-30
New Zealand,6.75666666666667,2016-12-31
