faketime,fatal,minor,nonInjury,serious
2020-01-01,0.9347,19.4373,55.827,5.4792
2020-01-02,0.9353,19.5065,56.0778,5.4878
2020-01-03,0.9359,19.5751,56.327,5.4962
2020-01-04,0.9365,19.6431,56.5745,5.5046
2020-01-05,0.9371,19.7105,56.8205,5.5129
2020-01-06,0.9377,19.7773,57.0648,5.521
2020-01-07,0.9382,19.8435,57.3075,5.5291
2020-01-08,0.9388,19.9091,57.5486,5.537
2020-01-09,0.9393,19.9741,57.7881,5.5448
2020-01-10,0.9398,20.0386,58.0259,5.5525
2020-01-11,0.9403,20.1024,58.2622,5.5601
2020-01-12,0.9408,20.1656,58.4968,5.5676
2020-01-13,0.9413,20.2282,58.7297,5.575
2020-01-14,0.9418,20.2902,58.9611,5.5822
2020-01-15,0.9422,20.3516,59.1908,5.5893
2020-01-16,0.9427,20.4124,59.4189,5.5964
2020-01-17,0.9431,20.4725,59.6453,5.6032
2020-01-18,0.9436,20.532,59.8702,5.61
2020-01-19,0.944,20.5909,60.0934,5.6167
2020-01-20,0.9444,20.6491,60.315,5.6232
2020-01-21,0.9448,20.7068,60.5349,5.6296
2020-01-22,0.9452,20.7638,60.7533,5.6359
2020-01-23,0.9456,20.8201,60.97,5.642
2020-01-24,0.9459,20.8758,61.185,5.6481
2020-01-25,0.9463,20.9309,61.3985,5.654
2020-01-26,0.9466,20.9853,61.6103,5.6597
2020-01-27,0.947,21.039,61.8204,5.6654
2020-01-28,0.9473,21.0921,62.029,5.6709
2020-01-29,0.9476,21.1446,62.2359,5.6763
2020-01-30,0.9479,21.1964,62.4411,5.6815
2020-01-31,0.9482,21.2475,62.6448,5.6867
2020-02-01,0.9485,21.2979,62.8468,5.6916
2020-02-02,0.9488,21.3477,63.0471,5.6965
2020-02-03,0.949,21.3968,63.2459,5.7012
2020-02-04,0.9493,21.4453,63.443,5.7058
2020-02-05,0.9495,21.493,63.6384,5.7103
2020-02-06,0.9498,21.5401,63.8322,5.7146
2020-02-07,0.95,21.5865,64.0244,5.7187
2020-02-08,0.9502,21.6322,64.215,5.7228
2020-02-09,0.9504,21.6772,64.4039,5.7267
2020-02-10,0.9506,21.7215,64.5911,5.7304
2020-02-11,0.9508,21.7652,64.7768,5.734
2020-02-12,0.951,21.8081,64.9607,5.7375
2020-02-13,0.9511,21.8503,65.1431,5.7408
2020-02-14,0.9513,21.8918,65.3238,5.744
2020-02-15,0.9514,21.9327,65.5029,5.7471
2020-02-16,0.9516,21.9728,65.6803,5.7499
2020-02-17,0.9517,22.0121,65.8562,5.7527
2020-02-18,0.9518,22.0508,66.0305,5.7553
2020-02-19,0.9519,22.0887,66.2032,5.7577
2020-02-20,0.952,22.126,66.3743,5.76
2020-02-21,0.9521,22.1625,66.5438,5.7621
2020-02-22,0.9522,22.1984,66.7117,5.7641
2020-02-23,0.9523,22.2336,66.8781,5.766
2020-02-24,0.9523,22.2681,67.0428,5.7677
2020-02-25,0.9524,22.3019,67.206,5.7693
2020-02-26,0.9524,22.335,67.3676,5.7708
2020-02-27,0.9525,22.3675,67.5276,5.7721
2020-02-28,0.9525,22.3994,67.6859,5.7733
2020-02-29,0.9525,22.4306,67.8427,5.7743
2020-03-01,0.9525,22.4611,67.9979,5.7753
2020-03-02,0.9525,22.4911,68.1515,5.7761
2020-03-03,0.9525,22.5204,68.3035,5.7768
2020-03-04,0.9524,22.549,68.4538,5.7773
2020-03-05,0.9524,22.5771,68.6026,5.7778
2020-03-06,0.9523,22.6045,68.7498,5.7781
2020-03-07,0.9523,22.6314,68.8953,5.7783
2020-03-08,0.9522,22.6576,69.0392,5.7784
2020-03-09,0.9521,22.6833,69.1816,5.7784
2020-03-10,0.952,22.7083,69.3223,5.7783
2020-03-11,0.9519,22.7328,69.4614,5.7781
2020-03-12,0.9518,22.7567,69.5989,5.7778
2020-03-13,0.9516,22.7801,69.7347,5.7773
2020-03-14,0.9515,22.8029,69.869,5.7768
2020-03-15,0.9513,22.8251,70.0016,5.7762
2020-03-16,0.9512,22.846800000000002,70.1326,5.7755
2020-03-17,0.951,22.8679,70.262,5.7746
2020-03-18,0.9508,22.8885,70.3898,5.7737
2020-03-19,0.9506,22.9086,70.5159,5.7727
2020-03-20,0.9504,22.9282,70.6404,5.7716
2020-03-21,0.9502,22.9472,70.7633,5.7704
2020-03-22,0.9499,22.9658,70.8845,5.7692
2020-03-23,0.9497,22.9838,71.0042,5.7678
2020-03-24,0.9494,23.0013,71.1221,5.7664
2020-03-25,0.9491,23.0183,71.2385,5.7649
2020-03-26,0.9488,23.0349,71.3532,5.7633
2020-03-27,0.9485,23.051,71.4663,5.7617
2020-03-28,0.9482,23.0666,71.5777,5.7599
2020-03-29,0.9479,23.0817,71.6875,5.7581
2020-03-30,0.9475,23.0964,71.7957,5.7563
2020-03-31,0.9472,23.1106,71.9022,5.7543
2020-04-01,0.9468,23.1243,72.007,5.7523
2020-04-02,0.9464,23.1371,72.1099,5.7501
2020-04-03,0.946,23.1484,72.2105,5.7475
2020-04-04,0.9457,23.1582,72.3087,5.7445
2020-04-05,0.9453,23.1666,72.4048,5.7412
2020-04-06,0.9449,23.1736,72.4986,5.7375
2020-04-07,0.9444,23.1793,72.5903,5.7335
2020-04-08,0.944,23.1837,72.6798,5.7292
2020-04-09,0.9436,23.1868,72.7672,5.7246
2020-04-10,0.9431,23.1888,72.8526,5.7197
2020-04-11,0.9427,23.1896,72.9359,5.7146
2020-04-12,0.9422,23.1894,73.0173,5.7092
2020-04-13,0.9418,23.1881,73.0966,5.7035
2020-04-14,0.9413,23.1858,73.1741,5.6976
2020-04-15,0.9408,23.1825,73.2497,5.6915
2020-04-16,0.9403,23.1783,73.3234,5.6852
2020-04-17,0.9398,23.1732,73.3953,5.6787
2020-04-18,0.9393,23.1673,73.4655,5.672
2020-04-19,0.9387,23.1607,73.5339,5.6652
2020-04-20,0.9382,23.1533,73.6005,5.6582
2020-04-21,0.9376,23.1452,73.6656,5.651
2020-04-22,0.9371,23.1364,73.7289,5.6438
2020-04-23,0.9365,23.1271,73.7907,5.6364
2020-04-24,0.9359,23.1172,73.851,5.6289
2020-04-25,0.9353,23.1069,73.9096,5.6214
2020-04-26,0.9347,23.096,73.9668,5.6137
2020-04-27,0.934,23.0848,74.0226,5.606
2020-04-28,0.9334,23.0731,74.0769,5.5983
2020-04-29,0.9327,23.0612,74.1299,5.5905
2020-04-30,0.9321,23.049,74.1814,5.5828
2020-05-01,0.9314,23.0365,74.2317,5.575
2020-05-02,0.9307,23.0239,74.2807,5.5672
2020-05-03,0.9299,23.0111,74.3285,5.5595
2020-05-04,0.9292,22.9982,74.375,5.5517
2020-05-05,0.9285,22.9853,74.4204,5.5441
2020-05-06,0.9277,22.9724,74.4647,5.5365
2020-05-07,0.9269,22.9595,74.5078,5.5289
2020-05-08,0.9261,22.9467,74.5499,5.5215
2020-05-09,0.9253,22.934,74.5909,5.5142
2020-05-10,0.9244,22.9215,74.631,5.5069
2020-05-11,0.9236,22.909300000000002,74.6701,5.4999
2020-05-12,0.9227,22.8973,74.7083,5.4929
2020-05-13,0.9218,22.8856,74.7456,5.4861
2020-05-14,0.9209,22.8743,74.7821,5.4795
2020-05-15,0.92,22.8634,74.8177,5.4731
2020-05-16,0.919,22.8529,74.8526,5.4668
2020-05-17,0.9181,22.843,74.8867,5.4608
2020-05-18,0.917,22.8331,74.92,5.4548
2020-05-19,0.9159,22.8229,74.9525,5.4487
2020-05-20,0.9148,22.8124,74.9841,5.4424
2020-05-21,0.9136,22.8015,75.0148,5.4361
2020-05-22,0.9123,22.7903,75.0446,5.4296
2020-05-23,0.9109,22.7788,75.0734,5.423
2020-05-24,0.9095,22.767,75.1012,5.4164
2020-05-25,0.9081,22.7549,75.128,5.4096
2020-05-26,0.9066,22.7425,75.1537,5.4028
2020-05-27,0.905,22.7299,75.1784,5.3959
2020-05-28,0.9034,22.7169,75.202,5.3889
2020-05-29,0.9018,22.7037,75.2245,5.3819
2020-05-30,0.9001,22.6902,75.2459,5.3748
2020-05-31,0.8984,22.6765,75.2661,5.3677
2020-06-01,0.8966,22.6626,75.2851,5.3606
2020-06-02,0.8949,22.6484,75.303,5.3534
2020-06-03,0.8931,22.634,75.3195,5.3462
2020-06-04,0.8912,22.6193,75.3349,5.339
2020-06-05,0.8894,22.6045,75.3489,5.3318
2020-06-06,0.8876,22.5895,75.3616,5.3246
2020-06-07,0.8857,22.5742,75.373,5.3174
2020-06-08,0.8839,22.5588,75.383,5.3102
