time,day,hour,Fatal,Serious
2000-12-24T03:00:00Z,2000-12-24,16,NA,NA
2000-12-24T04:00:00Z,2000-12-24,17,NA,NA
2000-12-24T05:00:00Z,2000-12-24,18,NA,NA
2000-12-24T06:00:00Z,2000-12-24,19,NA,NA
2000-12-24T07:00:00Z,2000-12-24,20,0,1
2000-12-24T08:00:00Z,2000-12-24,21,0,1
2000-12-24T09:00:00Z,2000-12-24,22,NA,NA
2000-12-24T10:00:00Z,2000-12-24,23,NA,NA
2000-12-24T11:00:00Z,2000-12-25,0,NA,NA
2000-12-24T12:00:00Z,2000-12-25,1,0,1
2000-12-24T13:00:00Z,2000-12-25,2,NA,NA
2000-12-24T14:00:00Z,2000-12-25,3,NA,NA
2000-12-24T15:00:00Z,2000-12-25,4,NA,NA
2000-12-24T16:00:00Z,2000-12-25,5,NA,NA
2000-12-24T17:00:00Z,2000-12-25,6,NA,NA
2000-12-24T18:00:00Z,2000-12-25,7,NA,NA
2000-12-24T19:00:00Z,2000-12-25,8,NA,NA
2000-12-24T20:00:00Z,2000-12-25,9,NA,NA
2000-12-24T21:00:00Z,2000-12-25,10,NA,NA
2000-12-24T22:00:00Z,2000-12-25,11,0,1
2000-12-24T23:00:00Z,2000-12-25,12,NA,NA
2000-12-25T00:00:00Z,2000-12-25,13,0,1
2000-12-25T01:00:00Z,2000-12-25,14,NA,NA
2000-12-25T02:00:00Z,2000-12-25,15,NA,NA
2000-12-25T03:00:00Z,2000-12-25,16,NA,NA
2000-12-25T04:00:00Z,2000-12-25,17,NA,NA
2000-12-25T05:00:00Z,2000-12-25,18,NA,NA
2000-12-25T06:00:00Z,2000-12-25,19,NA,NA
2000-12-25T07:00:00Z,2000-12-25,20,NA,NA
2000-12-25T08:00:00Z,2000-12-25,21,0,1
2000-12-25T09:00:00Z,2000-12-25,22,NA,NA
2000-12-25T10:00:00Z,2000-12-25,23,0,1
2000-12-25T11:00:00Z,2000-12-26,0,NA,NA
2000-12-25T12:00:00Z,2000-12-26,1,NA,NA
2000-12-25T13:00:00Z,2000-12-26,2,NA,NA
2000-12-25T14:00:00Z,2000-12-26,3,0,1
2000-12-25T15:00:00Z,2000-12-26,4,NA,NA
2000-12-25T16:00:00Z,2000-12-26,5,NA,NA
2000-12-25T17:00:00Z,2000-12-26,6,NA,NA
2000-12-25T18:00:00Z,2000-12-26,7,NA,NA
