faketime,fatal,minor,nonInjury,serious
2019-12-24T15:00:00Z,0,60,166,13
2019-12-24T21:00:00Z,8,88,314,31
2019-12-25T03:00:00Z,5,44,137,10
2019-12-25T09:00:00Z,5,80,184,14
2019-12-25T15:00:00Z,6,97,283,31
2019-12-25T21:00:00Z,7,76,202,33
2019-12-26T03:00:00Z,5,44,95,12
2019-12-26T09:00:00Z,4,93,242,15
2019-12-26T15:00:00Z,7,138,483,41
2019-12-26T21:00:00Z,3,85,248,26
2019-12-27T03:00:00Z,2,29,89,16
2019-12-27T09:00:00Z,7,82,238,23
2019-12-27T15:00:00Z,13,190,468,47
2019-12-27T21:00:00Z,3,85,259,18
2019-12-28T03:00:00Z,0,36,88,12
2019-12-28T09:00:00Z,4,82,208,13
2019-12-28T15:00:00Z,9,155,492,56
2019-12-28T21:00:00Z,3,67,222,13
2019-12-29T03:00:00Z,3,25,70,5
2019-12-29T09:00:00Z,4,88,281,28
2019-12-29T15:00:00Z,13,136,510,36
2019-12-29T21:00:00Z,1,71,238,20
2019-12-30T03:00:00Z,2,30,99,12
2019-12-30T09:00:00Z,6,85,283,17
2019-12-30T15:00:00Z,6,149,472,43
2019-12-30T21:00:00Z,5,93,209,17
2019-12-31T03:00:00Z,5,32,68,12
2019-12-31T09:00:00Z,5,77,229,22
2019-12-31T15:00:00Z,5,131,482,41
2019-12-31T21:00:00Z,9,106,312,34
2020-01-01T03:00:00Z,12,108,310,33
2020-01-01T09:00:00Z,3,99,238,30
2020-01-01T15:00:00Z,8,123,370,43
2020-01-01T21:00:00Z,4,73,198,21
2020-01-02T03:00:00Z,6,17,79,10
2020-01-02T09:00:00Z,2,78,207,16
2020-01-02T15:00:00Z,9,185,446,49
2020-01-02T21:00:00Z,5,89,257,25
2020-01-03T03:00:00Z,5,28,94,4
2020-01-03T09:00:00Z,2,55,99,12
2020-01-03T15:00:00Z,6,89,230,27
2020-01-03T21:00:00Z,3,20,101,11
2020-01-04T03:00:00Z,0,11,35,8
2020-01-04T09:00:00Z,2,30,109,13
2020-01-04T15:00:00Z,1,47,171,15
2020-01-04T21:00:00Z,4,27,99,9
2020-01-05T03:00:00Z,3,11,31,1
